,game_name,song_name,is_4/4,time_signature_count,valid_tracks,unique_valid_tracks
327,Breath of Fire,BOFHOUSE.mid,True,2,2,1
328,Breath of Fire,B1L_bof_house.mid,False,1,5,2
329,Breath of Fire,bofopen.mid,False,5,10,4
330,Breath of Fire,bofovrwrld1.mid,True,1,6,4
331,Breath of Fire,BoF-_OverWorld_Theme_A.mid,True,1,1,1
332,Breath of Fire,bofworld2.mid,False,7,7,5
333,Breath of Fire,bofworld3.mid,False,3,9,5
334,Breath of Fire,BOFPARTY.mid,True,1,4,3
335,Breath of Fire,BL_bof_story.mid,True,1,3,1
336,Breath of Fire,bofromer.mid,True,5,2,2
337,Breath of Fire,Wolftown.mid,True,1,6,4
338,Breath of Fire,BOF_Profit_Xg.mid,False,1,1,1
339,Breath of Fire,boftunla.mid,True,1,3,2
340,Breath of Fire,Uncertain.mid,True,1,0,0
341,Breath of Fire,bofunder.mid,True,1,3,3
342,Breath of Fire,bofundr2.mid,True,1,5,2
343,Breath of Fire,BoF-_Underworld_Theme.mid,True,1,1,1
344,Breath of Fire,Aqua.mid,True,1,10,3
345,Breath of Fire,Cavejazz.mid,True,1,4,3
346,Breath of Fire,bofwinla.mid,True,3,1,1
347,Breath of Fire 2,b2-batl.mid,False,9,4,3
348,Breath of Fire 2,bof2batt.mid,True,1,6,3
349,Breath of Fire 2,b2batl2.mid,False,61,6,4
350,Breath of Fire 2,bof2bat2.mid,True,1,6,4
351,Breath of Fire 2,bf2bridge.mid,False,34,6,4
352,Breath of Fire 2,bof2-bridge.mid,False,34,6,4
353,Breath of Fire 2,bof2cut.mid,True,1,7,4
354,Breath of Fire 2,b2bbatle.mid,False,16,3,2
355,Breath of Fire 2,bof2boss.mid,True,1,4,3
356,Breath of Fire 2,B2bssrmx.mid,False,14,7,4
357,Breath of Fire 2,b2bbatl3.mid,False,21,6,4
358,Breath of Fire 2,bof2cris.mid,True,1,6,4
359,Breath of Fire 2,bof2chur.mid,True,1,0,0
360,Breath of Fire 2,bof2cir2.mid,True,1,7,3
361,Breath of Fire 2,Bof2end.mid,False,10,6,3
362,Breath of Fire 2,Dream_Land1.mid,True,1,5,4
363,Breath of Fire 2,bof2drem.mid,True,1,7,4
364,Breath of Fire 2,bof2evil.mid,True,1,8,3
365,Breath of Fire 2,BoF2Devn.mid,False,2,8,5
366,Breath of Fire 2,bof2evan.mid,True,1,8,5
367,Breath of Fire 2,b2thief.mid,True,1,2,2
368,Breath of Fire 2,bof2find.mid,True,1,3,2
369,Breath of Fire 2,bof2flyp.mid,False,1,2,1
370,Breath of Fire 2,bof2fypuding-arrangement.mid,False,1,0,0
371,Breath of Fire 2,bof2gimm.mid,True,1,5,2
372,Breath of Fire 2,bof2deca.mid,True,1,2,2
373,Breath of Fire 2,Eva.mid,True,1,1,1
374,Breath of Fire 2,Grandch.mid,False,2,1,1
375,Breath of Fire 2,bof2god.mid,True,1,0,0
376,Breath of Fire 2,BOF2_Decadence_of_God_Xg.mid,False,5,2,1
377,Breath of Fire 2,bof2hide.mid,True,1,4,3
378,Breath of Fire 2,Yua.mid,False,1,6,3
379,Breath of Fire 2,bof2memo.mid,True,1,3,2
380,Breath of Fire 2,More_than_words.mid,True,1,1,1
381,Breath of Fire 2,bof2nigm.mid,True,1,7,2
382,Breath of Fire 2,infinity2.mid,True,1,6,5
383,Breath of Fire 2,b2open.mid,False,4,4,3
384,Breath of Fire 2,b2nmls.mid,True,1,6,4
385,Breath of Fire 2,Silence_of_the_Sands.mid,True,0,8,1
386,Breath of Fire 2,Bof2drg2.mid,False,1,2,1
387,Breath of Fire 2,bof2flwr.mid,False,1,4,2
388,Breath of Fire 2,bof2twel.mid,True,1,2,2
389,Breath of Fire 2,Bf2_kuji.mid,True,1,6,4
390,Breath of Fire 2,bof2whal.mid,True,1,6,4
391,Breath of Fire 2,TheWonder.mid,True,0,4,2
392,Breath of Fire 2,Bof2town1.mid,False,1,4,2
393,Breath of Fire 2,bof2town.mid,False,1,5,2
394,Breath of Fire 2,bof2drag.mid,False,1,7,5
395,Breath of Fire 2,bof2rang.mid,True,1,7,4
396,Breath of Fire 2,BOF2WhatIsIt.mid,True,1,6,4
397,Breath of Fire 2,BOF2flying.mid,False,1,5,3
398,Breath of Fire 2,BoF2_whitewings.mid,False,20,1,1
399,Breath of Fire 2,BreathOfFire2WhiteWings.mid,True,0,6,3
400,Breath of Fire 2,bof2windia_v1-1.mid,True,1,10,4
401,Breath of Fire 2,WINDIWAR.mid,False,3,6,3
402,Breath of Fire 2,b2field2.mid,True,0,7,4
403,Breath of Fire 2,bof2map.mid,True,1,8,4
404,Breath of Fire 2,b2field3.mid,True,0,8,4
405,Breath of Fire 2,bof2live.mid,True,1,3,1
